"","date","total_guest"
"1",2015-07-01,225
"2",2015-07-02,190
"3",2015-07-03,116
"4",2015-07-04,181
"5",2015-07-05,113
"6",2015-07-06,154
"7",2015-07-07,114
"8",2015-07-08,139
"9",2015-07-09,169
"10",2015-07-10,120
"11",2015-07-11,209
"12",2015-07-12,150
"13",2015-07-13,173
"14",2015-07-14,69
"15",2015-07-15,208
"16",2015-07-16,208
"17",2015-07-17,287
"18",2015-07-18,317
"19",2015-07-19,116
"20",2015-07-20,266
"21",2015-07-21,152
"22",2015-07-22,258
"23",2015-07-23,250
"24",2015-07-24,144
"25",2015-07-25,407
"26",2015-07-26,104
"27",2015-07-27,347
"28",2015-07-28,75
"29",2015-07-29,109
"30",2015-07-30,200
"31",2015-07-31,145
"32",2015-08-01,242
"33",2015-08-02,109
"34",2015-08-03,387
"35",2015-08-04,102
"36",2015-08-05,300
"37",2015-08-06,146
"38",2015-08-07,281
"39",2015-08-08,425
"40",2015-08-09,184
"41",2015-08-10,436
"42",2015-08-11,239
"43",2015-08-12,261
"44",2015-08-13,222
"45",2015-08-14,659
"46",2015-08-15,398
"47",2015-08-16,201
"48",2015-08-17,384
"49",2015-08-18,200
"50",2015-08-19,138
"51",2015-08-20,227
"52",2015-08-21,164
"53",2015-08-22,301
"54",2015-08-23,173
"55",2015-08-24,319
"56",2015-08-25,253
"57",2015-08-26,241
"58",2015-08-27,212
"59",2015-08-28,186
"60",2015-08-29,228
"61",2015-08-30,203
"62",2015-08-31,219
"63",2015-09-01,211
"64",2015-09-02,261
"65",2015-09-03,351
"66",2015-09-04,333
"67",2015-09-05,507
"68",2015-09-06,291
"69",2015-09-07,299
"70",2015-09-08,201
"71",2015-09-09,363
"72",2015-09-10,269
"73",2015-09-11,360
"74",2015-09-12,394
"75",2015-09-13,131
"76",2015-09-14,282
"77",2015-09-15,213
"78",2015-09-16,319
"79",2015-09-17,574
"80",2015-09-18,631
"81",2015-09-19,402
"82",2015-09-20,241
"83",2015-09-21,444
"84",2015-09-22,179
"85",2015-09-23,306
"86",2015-09-24,432
"87",2015-09-25,483
"88",2015-09-26,383
"89",2015-09-27,111
"90",2015-09-28,180
"91",2015-09-29,199
"92",2015-09-30,376
"93",2015-10-01,224
"94",2015-10-02,299
"95",2015-10-03,422
"96",2015-10-04,387
"97",2015-10-05,363
"98",2015-10-06,347
"99",2015-10-07,331
"100",2015-10-08,312
"101",2015-10-09,405
"102",2015-10-10,499
"103",2015-10-11,196
"104",2015-10-12,380
"105",2015-10-13,175
"106",2015-10-14,125
"107",2015-10-15,423
"108",2015-10-16,662
"109",2015-10-17,264
"110",2015-10-18,222
"111",2015-10-19,397
"112",2015-10-20,182
"113",2015-10-21,226
"114",2015-10-22,172
"115",2015-10-23,183
"116",2015-10-24,293
"117",2015-10-25,291
"118",2015-10-26,170
"119",2015-10-27,85
"120",2015-10-28,256
"121",2015-10-29,216
"122",2015-10-30,197
"123",2015-10-31,380
"124",2015-11-01,107
"125",2015-11-02,134
"126",2015-11-03,110
"127",2015-11-04,101
"128",2015-11-05,98
"129",2015-11-06,180
"130",2015-11-07,193
"131",2015-11-08,88
"132",2015-11-09,145
"133",2015-11-10,85
"134",2015-11-11,102
"135",2015-11-12,96
"136",2015-11-13,113
"137",2015-11-14,77
"138",2015-11-15,47
"139",2015-11-16,118
"140",2015-11-17,116
